,model,experiment,Type,level,context,context2,ICCVal,lowerConfInt,upperConfInt,p.value
1,NasICCRatingAgreeWordAver3oo3w,Nasalisation,agreement,word,3oo3-w,3--3,0.145833333,-0.177241327,0.617828018,0.214873586
2,NasICCRatingAgreeWordAver3aamw,Nasalisation,agreement,word,3aam-w,3-n,0.577106518,0.047459846,0.88251638,0.018320988
3,NasICCRatingAgreeWordAver3eenw,Nasalisation,agreement,word,3een-w,3-n,0.477272727,-0.11367674,0.849451842,0.049196106
4,NasICCRatingAgreeWordAver3oonw,Nasalisation,agreement,word,3oon-w,3-n,0.851036269,0.631303761,0.960589639,4.12E-06
5,NasICCRatingAgreeWordAver3aafw,Nasalisation,agreement,word,3aaf-w,3-o,0.24353256,-0.201550374,0.717235046,0.149142393
6,NasICCRatingAgreeWordAver3eebw,Nasalisation,agreement,word,3eeb-w,3-o,0.314359638,-0.120754029,0.74958942,0.085277292
7,NasICCRatingAgreeWordAver3iishw,Nasalisation,agreement,word,3iish-w,3-o,0.034482759,-0.373158511,0.597348946,0.398322693
8,NasICCRatingAgreeWordAver7enw,Nasalisation,agreement,word,7en-w,7-n,0.705639615,0.285336372,0.921953015,0.002912782
9,NasICCRatingAgreeWordAver7oomw,Nasalisation,agreement,word,7oom-w,7-n,0.905660377,0.766278726,0.975210847,1.54E-08
10,NasICCRatingAgreeWordAver7aadw,Nasalisation,agreement,word,7aad-w,7-o,0.298449612,-0.31064077,0.777602784,0.148530073
11,NasICCRatingAgreeWordAver7eefw,Nasalisation,agreement,word,7eef-w,7-o,0.555430501,0.079267136,0.865800105,0.01174453
12,NasICCRatingAgreeWordAver7ookw,Nasalisation,agreement,word,7ook-w,7-o,0.678431373,0.252554961,0.910307414,0.002488278
13,NasICCRatingAgreeWordAver3eebv,Nasalisation,agreement,word,3eeb-v,Isolation,0.478095238,-0.123396513,0.85088408,0.050972635
14,NasICCRatingAgreeWordAver3oo3v,Nasalisation,agreement,word,3oo3-v,Isolation,-0.115124153,-1.463840399,0.812930024,0.942825775
15,NasICCRatingAgreeWordAver7eefv,Nasalisation,agreement,word,7eef-v,Isolation,0.852744997,0.633666397,0.961070975,3.91E-06
16,NasICCRatingAgreeWordAverbii3v,Nasalisation,agreement,word,bii3-v,Isolation,-0.074003795,-0.889816361,0.813877528,0.814150373
17,NasICCRatingAgreeWordAverdjuu3v,Nasalisation,agreement,word,djuu3-v,Isolation,0.576787808,0.09134398,0.87647446,0.011733407
18,NasICCRatingAgreeWordAverdoomv,Nasalisation,agreement,word,doom-v,Isolation,0.624705882,0.164949588,0.891784262,0.00530797
19,NasICCRatingAgreeWordAvermaatv,Nasalisation,agreement,word,maat-v,Isolation,0.618572142,0.154097967,0.890836224,0.006687939
20,NasICCRatingAgreeWordAvernaa7v,Nasalisation,agreement,word,naa7-v,Isolation,0.5568,0.062557313,0.869466902,0.015026006
21,NasICCRatingAgreeWordAvernaamv,Nasalisation,agreement,word,naam-v,Isolation,0.556865056,0.066447271,0.86882922,0.014333666
22,NasICCRatingAgreeWordAvernoo3v,Nasalisation,agreement,word,noo3-v,Isolation,0.730632911,0.350942957,0.926492466,0.000824176
23,NasICCRatingAgreeWordAvernuu7v,Nasalisation,agreement,word,nuu7-v,Isolation,0.314238953,-0.386046366,0.796245396,0.155528681
24,NasICCRatingAgreeWordAversaamv,Nasalisation,agreement,word,saam-v,Isolation,0.46917586,-0.116770017,0.845654404,0.050811457
25,NasICCRatingAgreeWordAvernoo3w,Nasalisation,agreement,word,noo3-w,n-3,0.589060309,0.007971795,0.890752704,0.023937627
26,NasICCRatingAgreeWordAvernaa7w,Nasalisation,agreement,word,naa7-w,n-7,0.886211784,0.707103989,0.970247198,4.43E-07
27,NasICCRatingAgreeWordAvernuu7w,Nasalisation,agreement,word,nuu7-w,n-7,0.862361038,0.66108708,0.963744571,2.02E-06
28,NasICCRatingAgreeWordAvermuunw,Nasalisation,agreement,word,muun-w,n-n,0.80861244,0.5329746,0.949331787,6.40E-05
29,NasICCRatingAgreeWordAvernaamw,Nasalisation,agreement,word,naam-w,n-n,0.761454545,0.427590027,0.936060155,0.000362666
30,NasICCRatingAgreeWordAvernoomw,Nasalisation,agreement,word,noom-w,n-n,0.720598717,0.313584755,0.926395506,0.002301203
31,NasICCRatingAgreeWordAvermaatw,Nasalisation,agreement,word,maat-w,n-o,0.749575071,0.39816744,0.933093335,0.000625669
32,NasICCRatingAgreeWordAvermoozw,Nasalisation,agreement,word,mooz-w,n-o,0.794215795,0.486848624,0.946196359,0.000242724
33,NasICCRatingAgreeWordAvermuusw,Nasalisation,agreement,word,muus-w,n-o,0.775456919,0.451097955,0.940668486,0.000338148
34,NasICCRatingAgreeWordAverbaa3w,Nasalisation,agreement,word,baa3-w,o-3,0.117056856,-0.348800905,0.66068655,0.297552763
35,NasICCRatingAgreeWordAverbii3w,Nasalisation,agreement,word,bii3-w,o-3,0.054021609,-0.346817254,0.604968583,0.369940099
36,NasICCRatingAgreeWordAverdjuu3w,Nasalisation,agreement,word,djuu3-w,o-3,0.264529058,-0.272840093,0.749693128,0.158497304
37,NasICCRatingAgreeWordAverloo7w,Nasalisation,agreement,word,loo7-w,o-7,0.151515152,-0.526624679,0.724870574,0.29192131
38,NasICCRatingAgreeWordAverzaa7w,Nasalisation,agreement,word,zaa7-w,o-7,0.184300341,-0.265830943,0.689197532,0.213584072
39,NasICCRatingAgreeWordAverzii7w,Nasalisation,agreement,word,zii7-w,o-7,0.170254403,-0.345627612,0.700725462,0.246041337
40,NasICCRatingAgreeWordAverdiinw,Nasalisation,agreement,word,diin-w,o-n,0.821127236,0.535483401,0.952856991,5.25E-05
41,NasICCRatingAgreeWordAverdoomw,Nasalisation,agreement,word,doom-w,o-n,0.71559633,0.328318572,0.922135443,0.001165745
42,NasICCRatingAgreeWordAversaamw,Nasalisation,agreement,word,saam-w,o-n,0.435173299,-0.216237346,0.839025694,0.07673329
