"","Type","ICCVal","lowerConfInt","upperConfInt","pValue"
"NasICCRatingAgreeWordAver","agreement",0.743748862961364,0.517063446901289,0.922295496810499,1.06473100935291e-09
"NasICCRatingAgreeWordAver3aafw","agreement",0.243532560214095,-0.20155037422127,0.717235045875177,0.149142392828189
"NasICCRatingAgreeWordAver3aamw","agreement",0.577106518282989,0.0474598462660033,0.882516379993567,0.018320988305249
"NasICCRatingAgreeWordAver3eebv","agreement",0.478095238095238,-0.123396513387425,0.850884080359299,0.0509726345209725
"NasICCRatingAgreeWordAver3eebw","agreement",0.314359637774903,-0.120754029285858,0.749589419532673,0.0852772922236402
"NasICCRatingAgreeWordAver3eenw","agreement",0.477272727272727,-0.113676739505626,0.849451842276718,0.0491961059848664
"NasICCRatingAgreeWordAver3iishw","agreement",0.0344827586206899,-0.373158510972487,0.597348945548827,0.398322692766594
"NasICCRatingAgreeWordAver3oo3v","agreement",-0.115124153498872,-1.46384039900249,0.812930024383985,0.942825774931737
"NasICCRatingAgreeWordAver3oo3w","agreement",0.145833333333333,-0.177241326680993,0.617828017901944,0.214873585584192
"NasICCRatingAgreeWordAver3oonw","agreement",0.851036269430052,0.631303761086112,0.960589639148567,4.11673294569786e-06
"NasICCRatingAgreeWordAver7aadw","agreement",0.298449612403101,-0.310640769665568,0.777602783511557,0.148530072864429
"NasICCRatingAgreeWordAver7eefv","agreement",0.852744997434582,0.633666396555031,0.961070974608065,3.91124231545333e-06
"NasICCRatingAgreeWordAver7eefw","agreement",0.555430500844119,0.0792671355242648,0.86580010461551,0.0117445295595721
"NasICCRatingAgreeWordAver7enw","agreement",0.705639614855571,0.285336372360034,0.921953014660952,0.00291278171462886
"NasICCRatingAgreeWordAver7ookw","agreement",0.67843137254902,0.252554961002046,0.910307413739204,0.00248827803188835
"NasICCRatingAgreeWordAver7oomw","agreement",0.905660377358491,0.766278726095399,0.975210847476124,1.54234937513713e-08
"NasICCRatingAgreeWordAverbaa3w","agreement",0.117056856187291,-0.348800904948613,0.660686550149596,0.297552763350963
"NasICCRatingAgreeWordAverbeetw","agreement",0.221052631578947,-0.470098923815393,0.756650339851683,0.228560065656754
"NasICCRatingAgreeWordAverbii3v","agreement",-0.0740037950664131,-0.889816360600661,0.813877527522928,0.814150372961517
"NasICCRatingAgreeWordAverbii3w","agreement",0.0540216086434575,-0.346817254375994,0.604968582825753,0.369940098622574
"NasICCRatingAgreeWordAverbooshw","agreement",0.755244755244755,0.405937335523018,0.935058861575714,0.000633575528913568
"NasICCRatingAgreeWordAverdaasw","agreement",0.468282252316465,-0.0856164523161639,0.841285547530684,0.0445448342289409
"NasICCRatingAgreeWordAverdiinw","agreement",0.821127235909551,0.535483401482094,0.952856991091146,5.25212653251415e-05
"NasICCRatingAgreeWordAverdjuu3v","agreement",0.576787807737398,0.0913439803345942,0.87647446024835,0.0117334069800165
"NasICCRatingAgreeWordAverdjuu3w","agreement",0.264529058116233,-0.272840092577156,0.749693127560296,0.15849730395938
"NasICCRatingAgreeWordAverdoomv","agreement",0.624705882352941,0.164949587695189,0.89178426233519,0.00530797033180749
"NasICCRatingAgreeWordAverdoomw","agreement",0.715596330275229,0.328318571891216,0.922135443325071,0.00116574473855306
"NasICCRatingAgreeWordAverloo7w","agreement",0.151515151515151,-0.526624678938917,0.724870573599907,0.291921309989219
"NasICCRatingAgreeWordAvermaatv","agreement",0.618572141787319,0.154097967172878,0.890836223999211,0.00668793880784526
"NasICCRatingAgreeWordAvermaatw","agreement",0.74957507082153,0.398167439510031,0.933093335085107,0.000625668574276885
"NasICCRatingAgreeWordAvermoozw","agreement",0.794215795328142,0.486848623799221,0.946196359267403,0.00024272430193315
"NasICCRatingAgreeWordAvermuunw","agreement",0.808612440191387,0.532974600283915,0.949331786677787,6.40388491415896e-05
"NasICCRatingAgreeWordAvermuusw","agreement",0.775456919060052,0.451097954929566,0.940668486279899,0.000338147670681826
"NasICCRatingAgreeWordAvernaa7v","agreement",0.5568,0.0625573128756999,0.869466901735304,0.015026005989762
"NasICCRatingAgreeWordAvernaa7w","agreement",0.886211783761895,0.707103989287074,0.970247197921461,4.4282998125239e-07
"NasICCRatingAgreeWordAvernaamv","agreement",0.556865055981143,0.0664472708003273,0.86882922012017,0.0143336658503971
"NasICCRatingAgreeWordAvernaamw","agreement",0.761454545454545,0.427590027168437,0.936060154925731,0.000362665676739124
"NasICCRatingAgreeWordAvernoo3v","agreement",0.730632911392405,0.350942957297816,0.926492465800013,0.000824176098308388
"NasICCRatingAgreeWordAvernoo3w","agreement",0.5890603085554,0.00797179542717731,0.89075270363164,0.0239376270412973
"NasICCRatingAgreeWordAvernoomw","agreement",0.720598717034925,0.313584755482311,0.926395506288026,0.00230120275688433
"NasICCRatingAgreeWordAvernuu7v","agreement",0.314238952536825,-0.386046365667042,0.796245396478816,0.155528681263987
"NasICCRatingAgreeWordAvernuu7w","agreement",0.862361037586024,0.661087079885803,0.963744570686019,2.01626137141825e-06
"NasICCRatingAgreeWordAversaamv","agreement",0.469175859831278,-0.116770017364578,0.845654404297809,0.0508114565716839
"NasICCRatingAgreeWordAversaamw","agreement",0.435173299101412,-0.216237345605926,0.839025693645832,0.0767332895073304
"NasICCRatingAgreeWordAverzaa7w","agreement",0.184300341296928,-0.265830943048946,0.689197531698167,0.213584072370445
