,Response,Context,Subject,Item,Rater
1,3,n-3,p04,noo3-w,R02
2,2,isolation,p04,noo3-v,R02
3,3,o-3,p04,djuu3-w,R02
4,3,isolation,p04,djuu3-v,R02
5,3,n-7,p04,nuu7-w,R02
6,2,isolation,p04,nuu7-v,R02
7,3,3--3,p04,3oo3-w,R02
8,3,isolation,p04,3oo3-v,R02
9,3,o-7,p04,loo7-w,R02
10,3,o-3,p04,bii3-w,R02
11,2,isolation,p04,bii3-v,R02
12,3,o-7,p04,zii7-w,R02
13,3,o-o,p04,daas-w,R02
14,3,n-o,p04,maat-w,R02
15,3,isolation,p04,maat-v,R02
16,2,7-n,p04,7en-w,R02
17,2,o-n,p04,diin-w,R02
18,3,o-7,p04,zaa7-w,R02
19,3,n-7,p04,naa7-w,R02
20,3,isolation,p04,naa7-v,R02
21,3,n-n,p04,naam-w,R02
22,3,isolation,p04,naam-v,R02
23,2,o-n,p04,doom-w,R02
24,2,isolation,p04,doom-v,R02
25,2,3-n,p04,3oon-w,R02
26,3,n-n,p04,noom-w,R02
27,3,n-n,p04,muun-w,R02
28,3,n-o,p04,muus-w,R02
29,2,n-o,p04,mooz-w,R02
30,2,7-o,p04,7ook-w,R02
31,2,7-n,p04,7oom-w,R02
32,3,3-o,p04,3aaf-w,R02
33,3,3-o,p04,3eeb-w,R02
34,2,isolation,p04,3eeb-v,R02
35,3,3-n,p04,3aam-w,R02
36,3,7-o,p04,7aad-w,R02
37,3,3-n,p04,3een-w,R02
38,3,3-o,p04,3iish-w,R02
39,3,7-o,p04,7eef-w,R02
40,2,isolation,p04,7eef-v,R02
41,3,o-n,p04,saam-w,R02
42,3,isolation,p04,saam-v,R02
43,3,o-3,p04,baa3-w,R02
44,2,o-o,p04,beet-w,R02
45,2,o-o,p04,boosh-w,R02
46,3,n-3,p01,noo3-w,R02
47,2,isolation,p01,noo3-v,R02
48,3,o-o,p01,daas-w,R02
49,3,n-o,p01,maat-w,R02
50,3,isolation,p01,maat-v,R02
51,3,7-n,p01,7en-w,R02
52,2,o-n,p01,diin-w,R02
53,3,o-7,p01,zaa7-w,R02
54,3,o-3,p01,djuu3-w,R02
55,2,isolation,p01,djuu3-v,R02
56,3,n-7,p01,nuu7-w,R02
57,2,isolation,p01,nuu7-v,R02
58,3,3--3,p01,3oo3-w,R02
59,2,isolation,p01,3oo3-v,R02
60,3,o-7,p01,loo7-w,R02
61,3,o-3,p01,bii3-w,R02
62,2,isolation,p01,bii3-v,R02
63,3,o-7,p01,zii7-w,R02
64,3,3-n,p01,3oon-w,R02
65,2,n-n,p01,noom-w,R02
66,2,n-n,p01,muun-w,R02
67,2,n-o,p01,muus-w,R02
68,2,n-o,p01,mooz-w,R02
69,3,7-o,p01,7ook-w,R02
70,3,7-n,p01,7oom-w,R02
71,3,3-o,p01,3aaf-w,R02
72,3,n-7,p01,naa7-w,R02
73,2,isolation,p01,naa7-v,R02
74,3,n-n,p01,naam-w,R02
75,2,isolation,p01,naam-v,R02
76,2,o-n,p01,doom-w,R02
77,2,isolation,p01,doom-v,R02
78,3,3-o,p01,3eeb-w,R02
79,2,isolation,p01,3eeb-v,R02
80,3,3-n,p01,3aam-w,R02
81,3,7-o,p01,7aad-w,R02
82,3,3-n,p01,3een-w,R02
83,3,3-o,p01,3iish-w,R02
84,3,7-o,p01,7eef-w,R02
85,2,isolation,p01,7eef-v,R02
86,3,o-n,p01,saam-w,R02
87,3,isolation,p01,saam-v,R02
88,3,o-3,p01,baa3-w,R02
89,2,o-o,p01,beet-w,R02
90,2,o-o,p01,boosh-w,R02
91,3,n-3,p05,noo3-w,R02
92,2,isolation,p05,noo3-v,R02
93,2,o-o,p05,daas-w,R02
94,3,n-o,p05,maat-w,R02
95,2,isolation,p05,maat-v,R02
96,3,7-n,p05,7en-w,R02
97,2,o-n,p05,diin-w,R02
98,3,o-7,p05,zaa7-w,R02
99,2,o-3,p05,djuu3-w,R02
100,2,isolation,p05,djuu3-v,R02
101,3,n-7,p05,nuu7-w,R02
102,2,isolation,p05,nuu7-v,R02
103,3,3--3,p05,3oo3-w,R02
104,3,isolation,p05,3oo3-v,R02
105,2,o-7,p05,loo7-w,R02
106,3,o-3,p05,bii3-w,R02
107,2,isolation,p05,bii3-v,R02
108,2,o-7,p05,zii7-w,R02
109,2,n-n,p05,noom-w,R02
110,2,n-n,p05,muun-w,R02
111,2,n-o,p05,muus-w,R02
112,2,n-o,p05,mooz-w,R02
113,3,7-o,p05,7ook-w,R02
114,3,7-n,p05,7oom-w,R02
115,3,3-o,p05,3aaf-w,R02
116,3,n-7,p05,naa7-w,R02
117,2,isolation,p05,naa7-v,R02
118,2,n-n,p05,naam-w,R02
119,2,isolation,p05,naam-v,R02
120,2,o-n,p05,doom-w,R02
121,2,isolation,p05,doom-v,R02
122,3,3-n,p05,3oon-w,R02
123,3,3-o,p05,3eeb-w,R02
124,2,isolation,p05,3eeb-v,R02
125,2,o-n,p05,saam-w,R02
126,2,isolation,p05,saam-v,R02
127,3,3-n,p05,3aam-w,R02
128,3,7-o,p05,7aad-w,R02
129,3,3-n,p05,3een-w,R02
130,3,3-o,p05,3iish-w,R02
131,3,7-o,p05,7eef-w,R02
132,2,isolation,p05,7eef-v,R02
133,3,o-3,p05,baa3-w,R02
134,2,o-o,p05,beet-w,R02
135,2,o-o,p05,boosh-w,R02
136,3,n-3,p02,noo3-w,R02
137,2,isolation,p02,noo3-v,R02
138,3,o-o,p02,daas-w,R02
139,2,n-o,p02,maat-w,R02
140,3,isolation,p02,maat-v,R02
