subjectNew,wordTarget,raterNumber,responseNumb
p04,noo3-w,R02,3
p04,noo3-v,R02,2
p04,djuu3-w,R02,3
p04,djuu3-v,R02,3
p04,nuu7-w,R02,3
p04,nuu7-v,R02,2
p04,3oo3-w,R02,3
p04,3oo3-v,R02,3
p04,loo7-w,R02,3
p04,bii3-w,R02,3
p04,bii3-v,R02,2
p04,zii7-w,R02,3
p04,daas-w,R02,3
p04,maat-w,R02,3
p04,maat-v,R02,3
p04,7en-w,R02,2
p04,diin-w,R02,2
p04,zaa7-w,R02,3
p04,naa7-w,R02,3
p04,naa7-v,R02,3
p04,naam-w,R02,3
p04,naam-v,R02,3
p04,doom-w,R02,2
p04,doom-v,R02,2
p04,3oon-w,R02,2
p04,noom-w,R02,3
p04,muun-w,R02,3
p04,muus-w,R02,3
p04,mooz-w,R02,2
p04,7ook-w,R02,2
p04,7oom-w,R02,2
p04,3aaf-w,R02,3
p04,3eeb-w,R02,3
p04,3eeb-v,R02,2
p04,3aam-w,R02,3
p04,7aad-w,R02,3
p04,3een-w,R02,3
p04,3iish-w,R02,3
p04,7eef-w,R02,3
p04,7eef-v,R02,2
p04,saam-w,R02,3
p04,saam-v,R02,3
p04,baa3-w,R02,3
p04,beet-w,R02,2
p04,boosh-w,R02,2
p01,noo3-w,R02,3
p01,noo3-v,R02,2
p01,daas-w,R02,3
p01,maat-w,R02,3
p01,maat-v,R02,3
p01,7en-w,R02,3
p01,diin-w,R02,2
p01,zaa7-w,R02,3
p01,djuu3-w,R02,3
p01,djuu3-v,R02,2
p01,nuu7-w,R02,3
p01,nuu7-v,R02,2
p01,3oo3-w,R02,3
p01,3oo3-v,R02,2
p01,loo7-w,R02,3
p01,bii3-w,R02,3
p01,bii3-v,R02,2
p01,zii7-w,R02,3
p01,3oon-w,R02,3
p01,noom-w,R02,2
p01,muun-w,R02,2
p01,muus-w,R02,2
p01,mooz-w,R02,2
p01,7ook-w,R02,3
p01,7oom-w,R02,3
p01,3aaf-w,R02,3
p01,naa7-w,R02,3
p01,naa7-v,R02,2
p01,naam-w,R02,3
p01,naam-v,R02,2
p01,doom-w,R02,2
p01,doom-v,R02,2
p01,3eeb-w,R02,3
p01,3eeb-v,R02,2
p01,3aam-w,R02,3
p01,7aad-w,R02,3
p01,3een-w,R02,3
p01,3iish-w,R02,3
p01,7eef-w,R02,3
p01,7eef-v,R02,2
p01,saam-w,R02,3
p01,saam-v,R02,3
p01,baa3-w,R02,3
p01,beet-w,R02,2
p01,boosh-w,R02,2
p05,noo3-w,R02,3
p05,noo3-v,R02,2
p05,daas-w,R02,2
p05,maat-w,R02,3
p05,maat-v,R02,2
p05,7en-w,R02,3
p05,diin-w,R02,2
p05,zaa7-w,R02,3
p05,djuu3-w,R02,2
p05,djuu3-v,R02,2
p05,nuu7-w,R02,3
p05,nuu7-v,R02,2
p05,3oo3-w,R02,3
p05,3oo3-v,R02,3
p05,loo7-w,R02,2
p05,bii3-w,R02,3
p05,bii3-v,R02,2
p05,zii7-w,R02,2
p05,noom-w,R02,2
p05,muun-w,R02,2
p05,muus-w,R02,2
p05,mooz-w,R02,2
p05,7ook-w,R02,3
p05,7oom-w,R02,3
p05,3aaf-w,R02,3
p05,naa7-w,R02,3
p05,naa7-v,R02,2
p05,naam-w,R02,2
p05,naam-v,R02,2
p05,doom-w,R02,2
p05,doom-v,R02,2
p05,3oon-w,R02,3
p05,3eeb-w,R02,3
p05,3eeb-v,R02,2
p05,saam-w,R02,2
p05,saam-v,R02,2
p05,3aam-w,R02,3
p05,7aad-w,R02,3
p05,3een-w,R02,3
p05,3iish-w,R02,3
p05,7eef-w,R02,3
p05,7eef-v,R02,2
p05,baa3-w,R02,3
p05,beet-w,R02,2
p05,boosh-w,R02,2
p02,noo3-w,R02,3
p02,noo3-v,R02,2
p02,daas-w,R02,3
p02,maat-w,R02,2
p02,maat-v,R02,3
p02,7en-w,R02,3
p02,diin-w,R02,2
p02,zaa7-w,R02,3
p02,djuu3-w,R02,2
p02,djuu3-v,R02,2
p02,nuu7-w,R02,3
p02,nuu7-v,R02,2
p02,3oo3-w,R02,3
p02,3oo3-v,R02,3
p02,loo7-w,R02,3
p02,bii3-w,R02,3
p02,bii3-v,R02,2
p02,zii7-w,R02,3
p02,muus-w,R02,2
p02,mooz-w,R02,3
p02,7ook-w,R02,3
p02,7oom-w,R02,3
p02,naa7-w,R02,3
p02,3aaf-w,R02,3
p02,naa7-v,R02,3
p02,naam-w,R02,2
p02,naam-v,R02,2
p02,doom-w,R02,2
p02,doom-v,R02,2
p02,3oon-w,R02,2
p02,noom-w,R02,2
p02,muun-w,R02,2
p02,3eeb-w,R02,3
p02,saam-w,R02,2
p02,saam-v,R02,3
p02,3eeb-v,R02,3
p02,3aam-w,R02,3
p02,7aad-w,R02,3
p02,3een-w,R02,3
p02,3iish-w,R02,3
p02,7eef-w,R02,3
p02,7eef-v,R02,3
p02,baa3-w,R02,3
p02,beet-w,R02,2
p02,boosh-w,R02,2
p03,noo3-w,R02,3
p03,noo3-v,R02,2
p03,daas-w,R02,3
p03,maat-w,R02,3
p03,maat-v,R02,3
p03,7en-w,R02,3
p03,diin-w,R02,2
p03,zaa7-w,R02,3
p03,djuu3-w,R02,3
p03,djuu3-v,R02,2
p03,nuu7-w,R02,3
p03,nuu7-v,R02,2
p03,3oo3-w,R02,3
p03,3oo3-v,R02,2
p03,loo7-w,R02,3
p03,bii3-w,R02,2
p03,bii3-v,R02,2
p03,zii7-w,R02,2
